region_name,region,value,percent_change,budget_millions,population_change,details
Жуковский,Московская область,4.37,-19,1250.5,-2.3,"Детали для Жуковский: изменение на -19%, приоритет низкий"
Сочи,Краснодарский край,9.56,9,2850.8,5.7,"Детали для Сочи: изменение на 9%, приоритет высокий"
Невинномысск,Ставропольский край,7.59,17,890.2,3.1,"Детали для Невинномысск: изменение на 17%, приоритет высокий"
Кисловодск,Ставропольский край,6.39,-19,650.4,-1.8,"Детали для Кисловодск: изменение на -19%, приоритет высокий"
Гатчина,Ленинградская область,2.4,43,420.7,8.2,"Детали для Гатчина: изменение на 43%, приоритет низкий"
Рыбинск,Ярославская область,2.4,39,380.9,4.5,"Детали для Рыбинск: изменение на 39%, приоритет низкий"
Барнаул,Алтайский край,1.52,0,950.3,1.2,"Детали для Барнаул: изменение на 0%, приоритет низкий"
Чита,Забайкальский край,8.8,12,1450.6,2.8,"Детали для Чита: изменение на 12%, приоритет высокий"
Улан-Удэ,Республика Бурятия,6.41,37,780.1,6.9,"Детали для Улан-Удэ: изменение на 37%, приоритет высокий"
Уссурийск,Приморский край,7.37,1,1100.4,0.5,"Детали для Уссурийск: изменение на 1%, приоритет высокий"
Хабаровск,Хабаровский край,1.19,28,2100.2,3.7,"Детали для Хабаровск: изменение на 28%, приоритет низкий"
Москва,Москва,8.92,15,45000.0,7.1,"Детали для Москва: изменение на 15%, приоритет высокий"
Санкт-Петербург,Санкт-Петербург,6.85,22,18500.3,4.8,"Детали для Санкт-Петербург: изменение на 22%, приоритет высокий"
Екатеринбург,Свердловская область,5.43,8,3200.7,2.9,"Детали для Екатеринбург: изменение на 8%, приоритет средний"
Новосибирск,Новосибирская область,4.78,12,2800.5,3.4,"Детали для Новосибирск: изменение на 12%, приоритет средний"
Казань,Республика Татарстан,7.21,18,1950.8,5.2,"Детали для Казань: изменение на 18%, приоритет высокий"
Нижний Новгород,Нижегородская область,5.67,6,1650.2,1.7,"Детали для Нижний Новгород: изменение на 6%, приоритет средний"
Челябинск,Челябинская область,4.12,-5,1400.9,-0.8,"Детали для Челябинск: изменение на -5%, приоритет низкий"
Омск,Омская область,3.89,3,980.4,0.9,"Детали для Омск: изменение на 3%, приоритет низкий"
Самара,Самарская область,5.94,11,1850.6,2.1,"Детали для Самара: изменение на 11%, приоритет средний"
Ростов-на-Дону,Ростовская область,6.23,14,2200.3,3.8,"Детали для Ростов-на-Дону: изменение на 14%, приоритет высокий"
